"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP4"
"63","GTD","Matteo Cressoni","1","1:35.722","1:35.722","Green","Track","0.000","5.681","25.972","23.286","7.768","0.568","20.610","0.976","152.449"
"50","GTD","Cooper MacNeil","1","1:40.728","1:40.728","Green","Track","0.000","5.505","27.268","23.783","7.678","0.564","21.106","1.024","153.530"
"33","GTD","Ben Keating","1","1:41.815","1:41.815","Green","Track","0.000","5.950","27.209","23.958","8.165","0.619","21.941","1.074","139.888"
"93","GTD","Andy Lally","1","1:50.931","1:50.931","Green","Track","0.000","7.860","26.487","23.703","7.851","0.578","21.528","0.964","149.811"
"57","GTD","Andrew Davis","1","1:52.075","1:52.075","Green","Track","0.000","7.379","26.613","23.725","7.917","0.590","21.404","1.004","146.764"
"28","GTD","Michael Christensen","1","2:00.825","2:00.825","Green","Track","0.000","7.784","28.182","24.592","10.597","0.679","21.724","0.998","127.527"
"23","GTD","Townsend Bell","1","2:03.685","2:03.685","Green","Track","23.060","12.035","27.490","23.631","7.887","0.571","20.969","0.937","151.648"
"54","GTD","Jonathan Bennett","1","2:04.239","2:04.239","Green","Track","24.406","10.517","27.380","23.439","7.734","0.572","21.375","0.973","151.383"
"75","GTD","Dion von Moltke","1","2:39.376","2:39.376","Green","Track","25.244","8.275","33.025","36.102","16.425","1.166","27.284","1.026","74.263"
"86","GTD","Oswaldo Negri Jr.","1","2:44.695","2:44.695","Green","Track","0.000","6.410","29.721","31.566","17.584","1.387","26.027","1.073","62.430"
"48","GTD","Madison Snow","1","2:50.731","2:50.731","Green","Track","0.000","6.094","24.847","22.782","7.775","0.567","21.308","0.949","152.718"
"29","GTD","Sheldon van der Linde","1","2:54.067","2:54.067","Green","Track","23.217","6.788","27.802","32.039","18.057","1.552","30.012","0.992","55.793"
"16","GTD","Jeroen Mul","1","2:57.901","2:57.901","Green","Track","24.012","5.387","24.435","23.019","9.974","0.846","24.319","0.962","102.353"
"63","GTD","Matteo Cressoni","2","1:26.329","3:02.051","Green","Track","5.871","4.329","23.488","21.960","7.615","0.558","21.559","0.949","155.181"
"96","GTD","Jesse Krohn","1","3:04.513","3:04.513","Green","Track","0.000","5.926","26.650","23.245","7.724","0.566","20.677","0.968","152.987"
"50","GTD","Cooper MacNeil","2","1:26.608","3:07.336","Green","Track","6.174","4.619","23.919","22.368","7.617","0.557","20.378","0.976","155.459"
"33","GTD","Ben Keating","2","1:31.111","3:12.926","Green","Track","6.535","4.675","24.976","23.946","7.883","0.602","21.552","0.942","143.839"
"93","GTD","Andy Lally","2","1:28.704","3:19.635","Green","Track","5.858","4.378","21.985","22.850","7.832","0.582","24.312","0.907","148.782"
"57","GTD","Andrew Davis","2","1:30.295","3:22.370","Green","Track","6.078","4.495","23.154","22.618","9.525","0.705","22.774","0.946","122.824"
"28","GTD","Michael Christensen","2","1:28.013","3:28.838","Green","Track","5.983","4.492","22.780","22.875","9.749","0.730","20.465","0.939","118.618"
"23","GTD","Townsend Bell","2","1:27.302","3:30.987","Green","Track","5.784","4.513","24.925","22.851","7.812","0.570","19.921","0.926","151.914"
"54","GTD","Jonathan Bennett","2","1:30.693","3:34.932","Green","Track","5.900","4.354","24.560","22.831","7.647","0.564","23.827","1.010","153.530"
"73","GTD","Patrick Lindsey","1","3:39.768","3:39.768","Green","Track","0.000","5.733","27.230","24.207","7.639","0.555","21.645","1.027","156.020"
"15","GTD","Jack Hawksworth","1","3:56.054","3:56.054","Green","Track","0.000","7.100","29.490","25.648","7.876","0.573","22.006","1.065","151.119"
"14","GTD","Sage Karam","1","4:00.209","4:00.209","Green","Track","0.000","6.314","30.736","26.878","8.514","0.655","21.299","0.954","132.200"
"75","GTD","Dion von Moltke","2","1:25.794","4:05.170","Green","Track","6.056","4.436","22.691","22.552","7.746","0.567","20.816","0.930","152.718"
"86","GTD","Oswaldo Negri Jr.","2","1:27.791","4:12.486","Green","Track","6.483","4.832","24.318","22.939","7.692","0.562","20.003","0.962","154.076"
"48","GTD","Madison Snow","2","1:27.540","4:18.271","Green","Track","5.816","4.322","22.208","25.034","8.169","0.647","20.417","0.927","133.834"
"29","GTD","Sheldon van der Linde","2","1:26.935","4:21.002","Green","Track","6.085","4.464","22.560","23.985","7.817","0.565","20.538","0.921","153.258"
"16","GTD","Jeroen Mul","2","1:25.506","4:23.407","Green","Track","5.821","4.330","22.540","23.084","8.061","0.573","20.184","0.913","151.119"
"63","GTD","Matteo Cressoni","3","1:22.840","4:24.891","Green","Track","5.666","4.479","22.077","21.785","7.576","0.553","19.784","0.920","156.584"
"96","GTD","Jesse Krohn","2","1:24.638","4:29.151","Green","Track","5.910","4.442","23.039","22.238","7.678","0.563","19.841","0.927","153.803"
"50","GTD","Cooper MacNeil","3","1:23.059","4:30.395","Green","Track","5.852","4.313","22.101","21.981","7.606","0.555","19.681","0.970","156.020"
"33","GTD","Ben Keating","3","1:22.767","4:35.693","Green","Track","5.699","4.176","21.990","22.083","7.779","0.571","19.555","0.914","151.648"
"93","GTD","Andy Lally","3","1:21.751","4:41.386","Green","Track","5.547","4.154","21.318","21.990","7.658","0.561","19.619","0.904","154.351"
"57","GTD","Andrew Davis","3","1:22.885","4:45.255","Green","Track","5.775","4.235","22.067","22.145","7.695","0.560","19.498","0.910","154.627"
"28","GTD","Michael Christensen","3","1:22.400","4:51.238","Green","Track","5.748","4.268","22.089","21.935","7.613","0.556","19.279","0.912","155.739"
"23","GTD","Townsend Bell","3","1:22.645","4:53.632","Green","Track","5.679","4.205","21.567","22.144","7.788","0.567","19.770","0.925","152.718"
"54","GTD","Jonathan Bennett","3","1:24.531","4:59.463","Green","Track","5.984","4.502","22.661","22.238","7.728","0.566","19.910","0.942","152.987"
"73","GTD","Patrick Lindsey","2","1:28.163","5:07.931","Green","Track","6.585","4.983","24.413","23.091","7.646","0.558","19.956","0.931","155.181"
"15","GTD","Jack Hawksworth","2","1:25.926","5:21.980","Green","Track","6.314","4.564","23.559","22.592","7.758","0.569","19.663","0.907","152.181"
"14","GTD","Sage Karam","2","1:25.118","5:25.327","Green","Track","6.206","4.768","23.240","22.286","7.649","0.558","19.506","0.905","155.181"
"75","GTD","Dion von Moltke","3","1:22.610","5:27.780","Green","Track","5.646","4.162","21.769","22.012","7.697","0.562","19.843","0.919","154.076"
"86","GTD","Oswaldo Negri Jr.","3","1:23.660","5:36.146","Green","Track","5.802","4.313","22.515","22.289","7.687","0.564","19.571","0.919","153.530"
"48","GTD","Madison Snow","3","1:21.809","5:40.080","Green","Track","5.643","4.213","21.525","21.876","7.673","0.560","19.404","0.915","154.627"
"29","GTD","Sheldon van der Linde","3","1:21.946","5:42.948","Green","Track","5.649","4.230","21.588","21.979","7.698","0.561","19.333","0.908","154.351"
"16","GTD","Jeroen Mul","3","1:21.767","5:45.174","Green","Track","5.533","4.127","21.436","21.913","7.676","0.560","19.610","0.912","154.627"
"63","GTD","Matteo Cressoni","4","1:21.289","5:46.180","Green","Track","5.597","4.158","21.398","21.727","7.561","0.552","19.382","0.914","156.868"
"96","GTD","Jesse Krohn","3","1:23.039","5:52.190","Green","Track","5.691","4.245","22.352","21.838","7.622","0.561","19.822","0.908","154.351"
"50","GTD","Cooper MacNeil","4","1:22.730","5:53.125","Green","Track","5.823","4.290","22.066","21.909","7.607","0.554","19.523","0.958","156.301"
"33","GTD","Ben Keating","4","1:22.808","5:58.501","Green","Track","5.585","4.083","21.879","22.301","7.783","0.570","19.685","0.922","151.914"
"93","GTD","Andy Lally","4","1:20.996","6:02.382","Green","Track","5.527","4.125","21.126","21.798","7.626","0.560","19.331","0.903","154.627"
"57","GTD","Andrew Davis","4","1:21.591","6:06.846","Green","Track","5.596","4.135","21.427","22.033","7.692","0.561","19.240","0.907","154.351"
"28","GTD","Michael Christensen","4","1:20.968","6:12.206","Green","Track","5.563","4.057","21.379","21.657","7.614","0.556","19.230","0.912","155.739"
"23","GTD","Townsend Bell","4","1:22.107","6:15.739","Green","Track","5.627","4.180","21.571","22.057","7.788","0.566","19.395","0.923","152.987"
"54","GTD","Jonathan Bennett","4","1:23.488","6:22.951","Green","Track","5.850","4.401","22.095","22.107","7.694","0.564","19.827","0.950","153.530"
"73","GTD","Patrick Lindsey","3","1:22.259","6:30.190","Green","Track","5.653","4.199","21.753","22.130","7.639","0.555","19.415","0.915","156.020"
"15","GTD","Jack Hawksworth","3","1:21.305","6:43.285","Green","Track","5.528","4.096","21.459","21.845","7.674","0.561","19.235","0.907","154.351"
"14","GTD","Sage Karam","3","1:21.371","6:46.698","Green","Track","5.587","4.201","21.444","21.839","7.607","0.555","19.231","0.907","156.020"
"75","GTD","Dion von Moltke","4","1:22.024","6:49.804","Green","Track","5.585","4.147","21.708","21.937","7.688","0.563","19.478","0.918","153.803"
"86","GTD","Oswaldo Negri Jr.","4","1:21.610","6:57.756","Green","Track","5.626","4.243","21.551","21.894","7.652","0.558","19.178","0.908","155.181"
"48","GTD","Madison Snow","4","1:22.746","7:02.826","Green","Track","5.595","4.095","22.642","21.988","7.641","0.559","19.308","0.918","154.903"
"29","GTD","Sheldon van der Linde","4","1:21.222","7:04.170","Green","Track","5.572","4.187","21.409","21.804","7.655","0.557","19.134","0.904","155.459"
"16","GTD","Jeroen Mul","4","1:21.063","7:06.237","Green","Track","5.505","4.088","21.317","21.858","7.673","0.559","19.151","0.912","154.903"
"63","GTD","Matteo Cressoni","5","1:24.492","7:10.672","Green","Track","5.553","4.152","21.879","22.935","8.138","0.596","20.319","0.920","145.287"
"96","GTD","Jesse Krohn","4","1:21.389","7:13.579","Green","Track","5.539","4.183","21.478","21.769","7.624","0.560","19.332","0.904","154.627"
"50","GTD","Cooper MacNeil","5","1:22.639","7:15.764","Green","Track","5.764","4.265","22.108","21.954","7.618","0.555","19.418","0.957","156.020"
"33","GTD","Ben Keating","5","1:24.762","7:23.263","Green","Track","5.627","4.466","23.330","22.279","7.788","0.570","19.772","0.930","151.914"
"93","GTD","Andy Lally","5","1:24.639","7:27.021","Green","Track","5.513","4.199","21.791","23.078","7.800","0.651","20.709","0.898","133.012"
"57","GTD","Andrew Davis","5","1:21.297","7:28.143","Green","Track","5.578","4.069","21.246","22.001","7.673","0.560","19.262","0.908","154.627"
"23","GTD","Townsend Bell","5","1:21.648","7:37.387","Green","Track","5.643","4.147","21.334","21.952","7.776","0.567","19.309","0.920","152.718"
"28","GTD","Michael Christensen","5","1:32.183","7:44.389","Green","Track","5.563","4.052","21.403","21.740","10.011","1.071","27.429","0.914","80.851"
"54","GTD","Jonathan Bennett","5","1:23.560","7:46.511","Green","Track","5.859","4.352","22.279","22.166","7.689","0.565","19.709","0.941","153.258"
"73","GTD","Patrick Lindsey","4","1:21.973","7:52.163","Green","Track","5.601","4.187","21.765","22.145","7.605","0.553","19.206","0.911","156.584"
"15","GTD","Jack Hawksworth","4","1:21.033","8:04.318","Green","Track","5.524","4.002","21.330","21.778","7.664","0.561","19.267","0.907","154.351"
"14","GTD","Sage Karam","4","1:21.120","8:07.818","Green","Track","5.542","4.118","21.366","21.749","7.602","0.555","19.281","0.907","156.020"
"75","GTD","Dion von Moltke","5","1:21.944","8:11.748","Green","Track","5.593","4.083","21.708","22.082","7.695","0.563","19.309","0.911","153.803"
"86","GTD","Oswaldo Negri Jr.","5","1:21.283","8:19.039","Green","Track","5.566","4.117","21.406","21.922","7.653","0.556","19.155","0.908","155.739"
"48","GTD","Madison Snow","5","1:21.572","8:24.398","Green","Track","5.629","4.165","21.430","21.865","7.656","0.560","19.349","0.918","154.627"
"29","GTD","Sheldon van der Linde","5","1:21.064","8:25.234","Green","Track","5.541","4.160","21.297","21.889","7.661","0.559","19.053","0.904","154.903"
"16","GTD","Jeroen Mul","5","1:24.258","8:30.495","Green","Track","5.511","4.099","21.327","22.104","7.989","0.685","21.627","0.916","126.410"
"63","GTD","Matteo Cressoni","6","1:20.844","8:31.516","Green","Track","5.559","4.151","21.351","21.695","7.578","0.555","19.050","0.905","156.020"
"96","GTD","Jesse Krohn","5","1:20.996","8:34.575","Green","Track","5.526","4.102","21.367","21.768","7.609","0.560","19.159","0.905","154.627"
"50","GTD","Cooper MacNeil","6","1:22.177","8:37.941","Green","Track","5.770","4.203","21.780","21.942","7.570","0.554","19.413","0.945","156.301"
"33","GTD","Ben Keating","6","1:21.959","8:45.222","Green","Track","5.648","4.039","21.453","21.939","7.809","0.572","19.584","0.915","151.383"
"93","GTD","Andy Lally","6","1:20.739","8:47.760","Green","Track","5.508","4.087","21.060","21.770","7.612","0.557","19.248","0.897","155.459"
"57","GTD","Andrew Davis","6","1:21.276","8:49.419","Green","Track","5.542","4.104","21.282","21.995","7.670","0.559","19.215","0.909","154.903"
"54","GTD","Jonathan Bennett","6","1:23.606","9:10.117","Green","Track","5.768","4.458","22.357","22.084","7.667","0.564","19.760","0.948","153.530"
"73","GTD","Patrick Lindsey","5","1:21.583","9:13.746","Green","Track","5.541","4.138","21.508","21.931","7.577","0.553","19.428","0.907","156.584"
"28","GTD","Michael Christensen","6","1:31.786","9:16.175","Green","Pit","5.609","4.065","21.207","21.770","7.599","0.556","21.513","9.467","155.739"
"15","GTD","Jack Hawksworth","5","1:20.798","9:25.116","Green","Track","5.507","3.982","21.262","21.726","7.648","0.562","19.204","0.907","154.076"
"14","GTD","Sage Karam","5","1:21.115","9:28.933","Green","Track","5.539","4.096","21.214","21.868","7.604","0.556","19.331","0.907","155.739"
"75","GTD","Dion von Moltke","6","1:22.331","9:34.079","Green","Track","5.589","4.124","21.674","22.150","7.712","0.566","19.604","0.912","152.987"
"86","GTD","Oswaldo Negri Jr.","6","1:21.389","9:40.428","Green","Track","5.570","4.137","21.467","21.871","7.623","0.561","19.250","0.910","154.351"
"48","GTD","Madison Snow","6","1:21.393","9:45.791","Green","Track","5.629","4.181","21.352","21.820","7.654","0.560","19.283","0.914","154.627"
"29","GTD","Sheldon van der Linde","6","1:24.491","9:49.725","Green","Track","5.517","4.177","21.200","21.848","7.710","0.674","22.461","0.904","128.473"
"16","GTD","Jeroen Mul","6","1:22.290","9:52.785","Green","Track","5.515","4.110","21.740","21.989","7.691","0.562","19.770","0.913","154.076"
"96","GTD","Jesse Krohn","6","1:20.904","9:55.479","Green","Track","5.516","4.063","21.393","21.684","7.589","0.557","19.195","0.907","155.459"
"63","GTD","Matteo Cressoni","7","1:26.952","9:58.468","Green","Track","5.505","4.154","21.741","23.270","9.664","0.652","21.044","0.922","132.808"
"50","GTD","Cooper MacNeil","7","1:22.259","10:00.200","Green","Track","5.761","4.274","21.683","21.908","7.584","0.555","19.539","0.955","156.020"
"33","GTD","Ben Keating","7","1:22.315","10:07.537","Green","Track","5.610","4.090","21.694","22.145","7.775","0.570","19.512","0.919","151.914"
"93","GTD","Andy Lally","7","1:20.753","10:08.513","Green","Track","5.496","4.093","21.154","21.821","7.578","0.554","19.156","0.901","156.301"
"57","GTD","Andrew Davis","7","1:24.635","10:14.054","Green","Track","5.562","4.114","21.241","21.981","7.665","0.558","22.607","0.907","155.181"
"54","GTD","Jonathan Bennett","7","1:23.379","10:33.496","Green","Track","5.860","4.418","22.244","22.125","7.677","0.564","19.556","0.935","153.530"
"73","GTD","Patrick Lindsey","6","1:21.470","10:35.216","Green","Track","5.577","4.169","21.442","21.923","7.566","0.552","19.324","0.917","156.868"
"23","GTD","Townsend Bell","6","2:59.522","10:36.909","Green","Pit","5.643","4.365","23.586","23.062","7.812","0.576","19.697","94.781","150.331"
"15","GTD","Jack Hawksworth","6","1:21.092","10:46.208","Green","Track","5.500","4.012","21.234","21.859","7.674","0.561","19.341","0.911","154.351"
"14","GTD","Sage Karam","6","1:25.853","10:54.786","Green","Track","5.539","4.068","21.336","21.852","7.703","0.691","23.762","0.902","125.312"
"75","GTD","Dion von Moltke","7","1:21.915","10:55.994","Green","Track","5.560","4.097","21.641","22.033","7.687","0.564","19.424","0.909","153.530"
"86","GTD","Oswaldo Negri Jr.","7","1:21.268","11:01.696","Green","Track","5.570","4.070","21.390","21.967","7.621","0.555","19.188","0.907","156.020"
"29","GTD","Sheldon van der Linde","7","1:20.978","11:10.703","Green","Track","5.553","4.144","21.142","21.840","7.660","0.558","19.177","0.904","155.181"
"16","GTD","Jeroen Mul","7","1:21.121","11:13.906","Green","Track","5.502","4.091","21.278","22.016","7.668","0.559","19.097","0.910","154.903"
"96","GTD","Jesse Krohn","7","1:20.981","11:16.460","Green","Track","5.527","4.086","21.327","21.770","7.613","0.558","19.199","0.901","155.181"
"48","GTD","Madison Snow","7","1:31.116","11:16.907","Green","Pit","5.589","4.231","21.360","21.909","7.673","0.560","20.291","9.503","154.627"
"63","GTD","Matteo Cressoni","8","1:21.034","11:19.502","Green","Track","5.566","4.136","21.538","21.779","7.574","0.554","18.993","0.894","156.301"
"93","GTD","Andy Lally","8","1:26.268","11:34.781","Green","Track","5.805","4.625","24.209","22.377","7.603","0.559","20.187","0.903","154.903"
"57","GTD","Andrew Davis","8","1:21.220","11:35.274","Green","Track","5.552","4.127","21.347","21.939","7.651","0.558","19.138","0.908","155.181"
"50","GTD","Cooper MacNeil","8","1:39.295","11:39.495","Green","Pit","6.308","4.916","25.443","23.182","7.653","0.557","21.737","9.499","155.459"
"33","GTD","Ben Keating","8","1:32.405","11:39.942","Green","Track","6.084","5.438","25.799","24.353","7.873","0.623","21.309","0.926","138.990"
"54","GTD","Jonathan Bennett","8","1:23.447","11:56.943","Green","Track","5.749","4.453","22.362","22.120","7.660","0.562","19.595","0.946","154.076"
"73","GTD","Patrick Lindsey","7","1:39.598","12:14.814","Green","Pit","6.351","4.685","24.878","23.154","8.132","0.645","21.609","10.144","134.249"
"14","GTD","Sage Karam","7","1:22.280","12:17.066","Green","Track","5.509","4.124","21.353","21.872","7.578","0.552","20.223","1.069","156.868"
"15","GTD","Jack Hawksworth","7","1:32.079","12:18.287","Green","Track","5.915","4.458","25.619","26.335","8.611","0.605","19.632","0.904","143.125"
"75","GTD","Dion von Moltke","8","1:25.720","12:21.714","Green","Track","5.578","4.163","21.963","23.912","8.186","0.663","20.347","0.908","130.605"
"23","GTD","Townsend Bell","7","1:50.439","12:27.348","Green","Track","22.673","5.902","24.807","25.583","9.224","0.697","20.631","0.922","124.234"
"86","GTD","Oswaldo Negri Jr.","8","1:29.957","12:31.653","Green","Track","5.562","4.129","21.521","27.239","8.840","0.721","21.038","0.907","120.098"
"29","GTD","Sheldon van der Linde","8","1:23.204","12:33.907","Green","Track","5.551","4.259","21.250","21.785","7.622","0.554","21.281","0.902","156.301"
"16","GTD","Jeroen Mul","8","1:22.128","12:36.034","Green","Track","5.483","4.110","21.391","21.892","7.642","0.558","20.112","0.940","155.181"
"63","GTD","Matteo Cressoni","9","1:20.661","12:40.163","Green","Track","5.466","4.097","21.273","21.679","7.553","0.552","19.145","0.896","156.868"
"96","GTD","Jesse Krohn","8","1:31.850","12:48.310","Green","Pit","5.501","4.096","21.537","21.801","7.543","0.554","21.376","9.442","156.301"
"93","GTD","Andy Lally","9","1:21.077","12:55.858","Green","Track","5.505","4.091","21.175","21.969","7.600","0.556","19.284","0.897","155.739"
"57","GTD","Andrew Davis","9","1:24.506","12:59.780","Green","Track","5.545","4.186","22.319","22.733","8.247","0.632","19.936","0.908","137.011"
"33","GTD","Ben Keating","9","1:23.533","13:03.475","Green","Track","5.638","4.257","21.717","22.243","7.748","0.567","20.452","0.911","152.718"
"54","GTD","Jonathan Bennett","9","1:23.447","13:20.390","Green","Track","5.823","4.410","22.196","22.196","7.653","0.560","19.683","0.926","154.627"
"75","GTD","Dion von Moltke","9","1:24.333","13:46.047","Green","Track","5.528","4.412","23.119","22.696","7.694","0.562","19.415","0.907","154.076"
"23","GTD","Townsend Bell","8","1:21.695","13:49.043","Green","Track","5.610","4.070","21.301","21.974","7.739","0.560","19.516","0.925","154.627"
"86","GTD","Oswaldo Negri Jr.","9","1:20.998","13:52.651","Green","Track","5.569","4.142","21.372","21.720","7.578","0.554","19.152","0.911","156.301"
"29","GTD","Sheldon van der Linde","9","1:20.830","13:54.737","Green","Track","5.578","4.160","21.140","21.809","7.625","0.554","19.063","0.901","156.301"
"16","GTD","Jeroen Mul","9","1:21.240","13:57.274","Green","Track","5.590","4.156","21.270","21.977","7.633","0.556","19.146","0.912","155.739"
"15","GTD","Jack Hawksworth","8","1:39.080","13:57.367","Green","Pit","5.487","4.043","21.285","21.887","7.629","0.557","22.554","15.638","155.459"
"14","GTD","Sage Karam","8","1:42.380","13:59.446","Green","Pit","7.772","4.576","24.728","22.761","9.362","0.748","22.730","9.703","115.763"
"63","GTD","Matteo Cressoni","10","1:23.690","14:03.853","Green","Track","5.487","4.129","21.144","21.829","8.101","0.649","21.438","0.913","133.422"
"93","GTD","Andy Lally","10","1:21.003","14:16.861","Green","Track","5.501","4.089","21.124","21.835","7.591","0.554","19.405","0.904","156.301"
"57","GTD","Andrew Davis","10","1:21.330","14:21.110","Green","Track","5.587","4.066","21.241","22.051","7.664","0.557","19.257","0.907","155.459"
"33","GTD","Ben Keating","10","2:02.470","15:05.945","Finish","Pit","5.595","4.025","41.758","26.676","9.016","0.726","25.453","9.221","119.271"
"75","GTD","Dion von Moltke","10","1:22.074","15:08.121","Finish","Track","5.551","4.097","21.761","22.145","7.673","0.563","19.376","0.908","153.803"
"29","GTD","Sheldon van der Linde","10","1:20.897","15:15.634","Finish","Track","5.548","4.106","21.161","21.824","7.624","0.557","19.173","0.904","155.459"
"86","GTD","Oswaldo Negri Jr.","10","1:33.828","15:26.479","Finish","Pit","5.564","4.138","21.435","21.800","7.595","0.557","22.044","10.695","155.459"
"63","GTD","Matteo Cressoni","11","1:33.667","15:37.520","Finish","Pit","5.542","4.103","21.320","22.847","8.160","0.595","21.812","9.288","145.531"
"57","GTD","Andrew Davis","11","1:21.300","15:42.410","Finish","Track","5.531","4.102","21.281","21.937","7.661","0.560","19.320","0.908","154.627"
"93","GTD","Andy Lally","11","1:36.253","15:53.114","Finish","Pit","5.506","4.097","24.740","23.814","7.580","0.554","20.224","9.738","156.301"
"3","GTLM","Antonio Garcia","1","27:03.710","27:03.710","Green","Track","0.000","6.614","26.908","23.130","7.679","0.561","20.514","0.956","154.351"
"4","GTLM","Tommy Milner","1","27:25.452","27:25.452","Green","Track","0.000","6.048","27.451","23.054","7.648","0.560","20.391","0.960","154.627"
"911","GTLM","Patrick Pilet","1","27:32.186","27:32.186","Green","Track","0.000","5.537","24.822","22.573","7.623","0.559","19.675","0.900","154.903"
"3","GTLM","Antonio Garcia","2","1:21.938","28:25.648","Green","Track","5.824","4.194","21.965","21.725","7.518","0.551","19.271","0.890","157.152"
"912","GTLM","Gianmaria Bruni","1","28:40.656","28:40.656","Green","Track","0.000","7.258","26.220","23.087","7.868","0.567","19.933","0.935","152.718"
"4","GTLM","Tommy Milner","2","1:22.470","28:47.922","Green","Track","5.868","4.223","22.236","21.810","7.539","0.553","19.332","0.909","156.584"
"911","GTLM","Patrick Pilet","2","1:21.303","28:53.489","Green","Track","5.638","4.126","21.671","21.637","7.556","0.553","19.240","0.882","156.584"
"67","GTLM","Richard Westbrook","1","29:10.712","29:10.712","Green","Track","0.000","6.191","25.332","22.062","7.549","0.553","19.794","0.949","156.584"
"62","GTLM","Toni Vilander","1","29:15.473","29:15.473","Green","Track","0.000","7.318","27.252","23.179","7.593","0.553","19.793","0.976","156.584"
"25","GTLM","Bill Auberlen","1","29:18.495","29:18.495","Green","Track","0.000","8.932","27.548","22.334","7.456","0.547","19.239","0.880","158.301"
"24","GTLM","Martin Tomczyk","1","29:27.297","29:27.297","Green","Track","0.000","5.938","24.986","22.639","7.605","0.619","20.804","0.946","139.888"
"3","GTLM","Antonio Garcia","3","1:19.368","29:45.016","Green","Track","5.483","4.009","20.891","21.385","7.477","0.548","18.692","0.883","158.013"
"912","GTLM","Gianmaria Bruni","2","1:21.226","30:01.882","Green","Track","5.750","4.089","21.850","21.497","7.610","0.557","18.984","0.889","155.459"
"4","GTLM","Tommy Milner","3","1:20.165","30:08.087","Green","Track","5.573","4.031","21.189","21.483","7.516","0.549","18.938","0.886","157.725"
"911","GTLM","Patrick Pilet","3","1:19.217","30:12.706","Green","Track","5.489","3.980","20.720","21.210","7.545","0.552","18.838","0.883","156.868"
"67","GTLM","Richard Westbrook","2","1:20.677","30:31.389","Green","Track","5.829","4.088","21.782","21.220","7.465","0.546","18.864","0.883","158.591"
"62","GTLM","Toni Vilander","2","1:21.078","30:36.551","Green","Track","5.808","4.293","21.908","21.324","7.528","0.551","18.783","0.883","157.152"
"25","GTLM","Bill Auberlen","2","1:21.380","30:39.875","Green","Track","5.417","3.946","20.783","21.264","7.397","0.543","21.159","0.871","159.468"
"24","GTLM","Martin Tomczyk","2","1:21.178","30:48.475","Green","Track","5.731","4.247","21.480","21.708","7.455","0.548","19.134","0.875","158.013"
"66","GTLM","Joey Hand","1","30:59.513","30:59.513","Green","Track","0.000","5.762","24.940","22.445","7.573","0.556","19.894","0.963","155.739"
"3","GTLM","Antonio Garcia","4","1:17.852","31:02.868","Green","Track","5.393","3.861","20.288","20.992","7.443","0.544","18.456","0.875","159.174"
"912","GTLM","Gianmaria Bruni","3","1:19.421","31:21.303","Green","Track","5.505","4.057","20.865","21.237","7.583","0.555","18.733","0.886","156.020"
"4","GTLM","Tommy Milner","4","1:18.528","31:26.615","Green","Track","5.444","3.909","20.492","21.059","7.494","0.551","18.694","0.885","157.152"
"911","GTLM","Patrick Pilet","4","1:18.547","31:31.253","Green","Track","5.456","3.945","20.329","21.079","7.561","0.554","18.739","0.884","156.301"
"67","GTLM","Richard Westbrook","3","1:18.304","31:49.693","Green","Track","5.452","3.875","20.474","20.973","7.457","0.547","18.647","0.879","158.301"
